elapsed_s,elapsed_h,utc,adc_mv,uptime_s,gauge_mv,gauge_pct
0,0.0000,2026-08-18T01:34:48.523000Z,4096,12276,4108,200.6
30,0.0083,2026-08-18T01:35:18.523000Z,4086,12306,4108,200.6
60,0.0167,2026-08-18T01:35:48.524000Z,4091,12336,4107,198.7
90,0.0250,2026-08-18T01:36:18.524000Z,4086,12366,4108,196.6
120,0.0333,2026-08-18T01:36:48.525000Z,4081,12396,4103,194.7
150,0.0417,2026-08-18T01:37:18.525000Z,4086,12426,4103,192.8
180,0.0500,2026-08-18T01:37:48.525000Z,4086,12456,4106,191.0
210,0.0583,2026-08-18T01:38:18.525000Z,4086,12486,4100,189.2
240,0.0667,2026-08-18T01:38:48.526000Z,4086,12516,4098,187.5
270,0.0750,2026-08-18T01:39:18.526000Z,4086,12546,4102,185.6
300,0.0833,2026-08-18T01:39:48.526000Z,4081,12576,4103,183.8
330,0.0917,2026-08-18T01:40:18.526000Z,4081,12606,4101,182.2
360,0.1000,2026-08-18T01:40:48.526000Z,4076,12636,4101,180.5
390,0.1083,2026-08-18T01:41:18.527000Z,4076,12666,4098,178.9
420,0.1167,2026-08-18T01:41:48.526000Z,4076,12696,4100,177.2
450,0.1250,2026-08-18T01:42:18.527000Z,4081,12726,4098,175.6
480,0.1333,2026-08-18T01:42:48.527000Z,4076,12756,4097,174.2
510,0.1417,2026-08-18T01:43:18.527000Z,4076,12786,4097,172.6
540,0.1500,2026-08-18T01:43:48.528000Z,4076,12816,4092,171.0
570,0.1583,2026-08-18T01:44:18.527000Z,4081,12846,4096,169.6
600,0.1667,2026-08-18T01:44:48.528000Z,4076,12876,4096,168.0
630,0.1750,2026-08-18T01:45:18.528000Z,4076,12906,4096,166.6
660,0.1833,2026-08-18T01:45:48.529000Z,4071,12936,4088,165.3
690,0.1917,2026-08-18T01:46:18.529000Z,4071,12966,4095,163.9
721,0.2005,2026-08-18T01:46:50.449000Z,4071,12996,4090,161.2
750,0.2083,2026-08-18T01:47:18.529000Z,4076,13026,4090,161.2
780,0.2167,2026-08-18T01:47:48.529000Z,4071,13056,4095,159.8
810,0.2250,2026-08-18T01:48:18.529000Z,4067,13086,4087,158.5
840,0.2333,2026-08-18T01:48:48.529000Z,4067,13116,4090,157.3
871,0.2421,2026-08-18T01:49:20Z,4071,13147,4090,154.7
901,0.2504,2026-08-18T01:49:50Z,4067,13177,4083,153.6
931,0.2587,2026-08-18T01:50:20.001000Z,4067,13207,4088,152.3
961,0.2671,2026-08-18T01:50:50.002000Z,4067,13237,4088,151.1
991,0.2754,2026-08-18T01:51:20Z,4071,13267,4083,150.0
1021,0.2837,2026-08-18T01:51:50.001000Z,4071,13297,4082,148.9
1051,0.2921,2026-08-18T01:52:20.001000Z,4067,13327,4085,147.8
1081,0.3004,2026-08-18T01:52:50.001000Z,4067,13357,4083,146.7
1111,0.3087,2026-08-18T01:53:20.001000Z,4062,13387,4086,145.5
1141,0.3171,2026-08-18T01:53:50.002000Z,4067,13417,4085,144.6
1171,0.3254,2026-08-18T01:54:20.002000Z,4067,13447,4086,143.5
1201,0.3337,2026-08-18T01:54:50.002000Z,4062,13477,4085,142.5
1231,0.3421,2026-08-18T01:55:20.002000Z,4067,13507,4082,141.4
1261,0.3504,2026-08-18T01:55:50.003000Z,4067,13537,4082,140.5
1291,0.3587,2026-08-18T01:56:20.003000Z,4067,13567,4082,139.5
1321,0.3671,2026-08-18T01:56:50.003000Z,4067,13597,4076,138.6
1351,0.3754,2026-08-18T01:57:20.003000Z,4067,13627,4082,137.6
1381,0.3837,2026-08-18T01:57:50.003000Z,4067,13657,4081,136.7
1411,0.3921,2026-08-18T01:58:20.003000Z,4067,13687,4081,135.7
1441,0.4004,2026-08-18T01:58:50.025000Z,4057,13717,4081,134.9
1471,0.4088,2026-08-18T01:59:20.025000Z,4067,13747,4075,134.0
1501,0.4171,2026-08-18T01:59:50.025000Z,4062,13777,4080,133.2
1531,0.4254,2026-08-18T02:00:20.026000Z,4057,13807,4072,132.3
1561,0.4338,2026-08-18T02:00:50.026000Z,4057,13837,4077,131.5
1591,0.4421,2026-08-18T02:01:20.026000Z,4062,13867,4078,130.7
1621,0.4504,2026-08-18T02:01:50.026000Z,4057,13897,4071,129.9
1651,0.4588,2026-08-18T02:02:20.026000Z,4062,13927,4076,129.1
1681,0.4671,2026-08-18T02:02:50.026000Z,4057,13957,4070,128.3
1711,0.4754,2026-08-18T02:03:20.027000Z,4062,13987,4071,127.5
1741,0.4838,2026-08-18T02:03:50.027000Z,4062,14017,4063,126.7
1771,0.4921,2026-08-18T02:04:20.027000Z,4062,14047,4075,125.9
1801,0.5004,2026-08-18T02:04:50.027000Z,4052,14077,4072,125.3
1831,0.5088,2026-08-18T02:05:20.028000Z,4052,14107,4072,124.5
1861,0.5171,2026-08-18T02:05:50.027000Z,4057,14137,4072,123.9
1891,0.5254,2026-08-18T02:06:20.028000Z,4052,14167,4071,123.1
1921,0.5338,2026-08-18T02:06:50.028000Z,4057,14197,4068,122.4
1951,0.5421,2026-08-18T02:07:20.028000Z,4057,14227,4071,121.8
1981,0.5504,2026-08-18T02:07:50.028000Z,4057,14257,4065,121.2
2011,0.5588,2026-08-18T02:08:20.029000Z,4057,14287,4066,120.4
2041,0.5671,2026-08-18T02:08:50.028000Z,4057,14317,4062,119.8
2071,0.5754,2026-08-18T02:09:20.029000Z,4047,14347,4067,119.1
2101,0.5838,2026-08-18T02:09:50.029000Z,4057,14377,4068,118.5
2131,0.5921,2026-08-18T02:10:20.029000Z,4052,14407,4067,118.0
2161,0.6004,2026-08-18T02:10:50.030000Z,4057,14437,4068,117.4
2191,0.6088,2026-08-18T02:11:20.030000Z,4047,14467,4068,116.8
2221,0.6171,2026-08-18T02:11:50.030000Z,4052,14497,4067,116.1
2251,0.6254,2026-08-18T02:12:20.030000Z,4052,14527,4058,115.6
2281,0.6338,2026-08-18T02:12:50.031000Z,4052,14557,4061,115.0
2311,0.6421,2026-08-18T02:13:20.031000Z,4052,14587,4067,114.5
2341,0.6504,2026-08-18T02:13:50.031000Z,4052,14617,4060,113.9
2371,0.6588,2026-08-18T02:14:20.031000Z,4052,14647,4065,113.4
2401,0.6671,2026-08-18T02:14:50.031000Z,4047,14677,4062,113.0
2431,0.6754,2026-08-18T02:15:20.032000Z,4052,14707,4063,112.3
2461,0.6838,2026-08-18T02:15:50.032000Z,4042,14737,4063,111.8
2491,0.6921,2026-08-18T02:16:20.032000Z,4047,14767,4062,111.4
2521,0.7004,2026-08-18T02:16:50.032000Z,4042,14797,4062,110.9
2551,0.7088,2026-08-18T02:17:20.033000Z,4047,14827,4062,110.4
2581,0.7171,2026-08-18T02:17:50.033000Z,4042,14857,4058,110.0
2611,0.7254,2026-08-18T02:18:20.033000Z,4047,14887,4061,109.5
2641,0.7338,2026-08-18T02:18:50.033000Z,4042,14917,4061,109.0
2671,0.7421,2026-08-18T02:19:20.033000Z,4047,14947,4055,108.5
2701,0.7504,2026-08-18T02:19:50.034000Z,4032,14977,4057,108.1
2731,0.7588,2026-08-18T02:20:20.034000Z,4047,15007,4058,107.6
2761,0.7671,2026-08-18T02:20:50.034000Z,4047,15037,4060,107.3
2791,0.7754,2026-08-18T02:21:20.034000Z,4042,15067,4060,106.8
2821,0.7838,2026-08-18T02:21:50.034000Z,4047,15097,4056,106.3
2851,0.7921,2026-08-18T02:22:20.034000Z,4042,15127,4056,106.0
2881,0.8004,2026-08-18T02:22:50.035000Z,4042,15157,4057,105.5
2911,0.8088,2026-08-18T02:23:20.034000Z,4042,15187,4053,105.2
2941,0.8171,2026-08-18T02:23:50.035000Z,4037,15217,4056,104.7
2971,0.8254,2026-08-18T02:24:20.036000Z,4042,15247,4055,104.4
3001,0.8338,2026-08-18T02:24:50.035000Z,4042,15277,4055,103.9
3031,0.8421,2026-08-18T02:25:20.036000Z,4042,15307,4055,103.6
3061,0.8504,2026-08-18T02:25:50.036000Z,4042,15337,4053,103.1
3091,0.8588,2026-08-18T02:26:20.036000Z,4032,15367,4048,102.8
3121,0.8671,2026-08-18T02:26:50.037000Z,4042,15397,4053,102.5
3151,0.8754,2026-08-18T02:27:20.037000Z,4037,15427,4046,102.2
3181,0.8838,2026-08-18T02:27:50.037000Z,4042,15457,4050,101.7
3211,0.8921,2026-08-18T02:28:20.037000Z,4037,15487,4048,101.4
3241,0.9004,2026-08-18T02:28:50.037000Z,4037,15517,4048,101.1
3271,0.9088,2026-08-18T02:29:20.037000Z,4037,15547,4051,100.8
3301,0.9171,2026-08-18T02:29:50.038000Z,4037,15577,4050,100.5
3331,0.9254,2026-08-18T02:30:20.038000Z,4037,15607,4051,100.1
3361,0.9338,2026-08-18T02:30:50.038000Z,4037,15637,4051,99.8
3391,0.9421,2026-08-18T02:31:20.038000Z,4027,15667,4048,99.5
